ticker,filer,filing_datetime,impulse,doc_id
TEX,HON.,2024-05-15 00:00:00+00:00,0,20025020
ZTO,HON.,2024-05-15 00:00:00+00:00,0,20025020
WDAY,HON.,2024-05-15 00:00:00+00:00,0,20025020
FNA,HON.,2024-05-15 00:00:00+00:00,0,20025020
FCX,HON.,2024-05-15 00:00:00+00:00,0,20025020
CHGCY,HON.,2024-05-15 00:00:00+00:00,0,20025020
FAST,HON.,2024-05-15 00:00:00+00:00,0,20025020
OCFC,HON.,2024-05-15 00:00:00+00:00,0,20025020
UBER,HON.,2024-05-15 00:00:00+00:00,0,20025020
INTA,HON.,2024-05-15 00:00:00+00:00,0,20025020
DAVA,HON.,2024-05-15 00:00:00+00:00,0,20025020
TSLA,HON.,2024-05-15 00:00:00+00:00,0,20025020
GOOG,HON.,2024-05-15 00:00:00+00:00,0,20025020
META,HON.,2024-06-08 00:00:00+00:00,-1,20025207
BKNG,HON.,2024-06-08 00:00:00+00:00,-1,20025207
UMBF,HON.,2024-06-08 00:00:00+00:00,-1,20025207
RPD,HON.,2024-06-08 00:00:00+00:00,-1,20025207
NTDOY,HON.,2024-06-08 00:00:00+00:00,-1,20025207
BWIN,HON.,2024-06-08 00:00:00+00:00,-1,20025207
HLN,HON.,2024-06-08 00:00:00+00:00,-1,20025207
CRM,HON.,2024-06-08 00:00:00+00:00,-1,20025207
TXRH,HON.,2024-06-08 00:00:00+00:00,-1,20025207
MELI,HON.,2024-06-08 00:00:00+00:00,-1,20025207
MSFT,HON.,2024-06-08 00:00:00+00:00,-1,20025207
SSMXY,HON.,2024-06-08 00:00:00+00:00,-1,20025207
MNST,HON.,2024-06-08 00:00:00+00:00,-1,20025207
SWTX,HON.,2024-06-08 00:00:00+00:00,-1,20025207
AMSF,HON.,2024-06-08 00:00:00+00:00,-1,20025207
LOW,HON.,2024-06-08 00:00:00+00:00,-1,20025207
BX,HON.,2024-06-08 00:00:00+00:00,-1,20025207
KKR,HON.,2024-06-08 00:00:00+00:00,-1,20025207
CLPBY,HON.,2024-06-08 00:00:00+00:00,-1,20025207
LOPE,HON.,2024-06-08 00:00:00+00:00,-1,20025207
ALGN,HON.,2024-06-08 00:00:00+00:00,-1,20025207
UBER,HON.,2024-06-08 00:00:00+00:00,-1,20025207
INSM,HON.,2024-06-08 00:00:00+00:00,-1,20025207
EXAS,HON.,2024-06-08 00:00:00+00:00,-1,20025207
INTA,HON.,2024-06-08 00:00:00+00:00,-1,20025207
ALG,HON.,2024-06-08 00:00:00+00:00,-1,20025207
TSLA,HON.,2024-06-08 00:00:00+00:00,-1,20025207
GOOG,HON.,2024-06-08 00:00:00+00:00,-1,20025207
SAP,HON.,2024-07-09 00:00:00+00:00,-1,20025419
NVDA,HON.,2024-07-09 00:00:00+00:00,-1,20025419
TLK,HON.,2024-07-09 00:00:00+00:00,-1,20025419
CCI,HON.,2024-07-09 00:00:00+00:00,-1,20025419
MFC,HON.,2024-07-09 00:00:00+00:00,-1,20025419
APPF,HON.,2024-07-09 00:00:00+00:00,-1,20025419
HDB,HON.,2024-07-09 00:00:00+00:00,-1,20025419
MSFT,HON.,2024-07-09 00:00:00+00:00,-1,20025419
SBGSY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
LOW,HON.,2024-07-09 00:00:00+00:00,-1,20025419
ALFVY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
DBSDY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
FCX,HON.,2024-07-09 00:00:00+00:00,-1,20025419
PAYX,HON.,2024-07-09 00:00:00+00:00,-1,20025419
UPS,HON.,2024-07-09 00:00:00+00:00,-1,20025419
ATLKY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
ABNB,HON.,2024-07-09 00:00:00+00:00,-1,20025419
TXN,HON.,2024-07-09 00:00:00+00:00,-1,20025419
MEDP,HON.,2024-07-09 00:00:00+00:00,-1,20025419
IFNNY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
DHI,HON.,2024-07-09 00:00:00+00:00,-1,20025419
JNJ,HON.,2024-07-09 00:00:00+00:00,-1,20025419
SGIOY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
XP,HON.,2024-07-09 00:00:00+00:00,-1,20025419
SHLS,HON.,2024-07-09 00:00:00+00:00,-1,20025419
MAR,HON.,2024-07-09 00:00:00+00:00,-1,20025419
FMX,HON.,2024-07-09 00:00:00+00:00,-1,20025419
IBN,HON.,2024-07-09 00:00:00+00:00,-1,20025419
SYIEY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
MTX,HON.,2024-07-09 00:00:00+00:00,-1,20025419
DE,HON.,2024-07-09 00:00:00+00:00,-1,20025419
CRM,HON.,2024-07-09 00:00:00+00:00,-1,20025419
BBVA,HON.,2024-07-09 00:00:00+00:00,-1,20025419
ATRC,HON.,2024-07-09 00:00:00+00:00,-1,20025419
HSHCY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
GBOOY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
AAGIY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
PPBI,HON.,2024-07-09 00:00:00+00:00,-1,20025419
ASAZY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
CVX,HON.,2024-07-09 00:00:00+00:00,-1,20025419
NOC,HON.,2024-07-09 00:00:00+00:00,-1,20025419
AAPL,HON.,2024-07-09 00:00:00+00:00,-1,20025419
PRIM,HON.,2024-07-09 00:00:00+00:00,-1,20025419
ALIZY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
GMAB,HON.,2024-07-09 00:00:00+00:00,-1,20025419
RHHBY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
BHP,HON.,2024-07-09 00:00:00+00:00,-1,20025419
SF,HON.,2024-07-09 00:00:00+00:00,-1,20025419
ABEV,HON.,2024-07-09 00:00:00+00:00,-1,20025419
MELI,HON.,2024-07-09 00:00:00+00:00,-1,20025419
VIAV,HON.,2024-07-09 00:00:00+00:00,-1,20025419
AMD,HON.,2024-07-09 00:00:00+00:00,-1,20025419
NSRGY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
DEO,HON.,2024-07-09 00:00:00+00:00,-1,20025419
PYCR,HON.,2024-07-09 00:00:00+00:00,-1,20025419
SONVY,HON.,2024-07-09 00:00:00+00:00,-1,20025419
ADBE,HON.,2024-07-09 00:00:00+00:00,-1,20025419
SCHW,HON.,2024-07-09 00:00:00+00:00,-1,20025419
APD,HON.,2024-07-09 00:00:00+00:00,-1,20025419
MTDR,HON.,2024-07-09 00:00:00+00:00,-1,20025419
TSM,HON.,2024-07-09 00:00:00+00:00,-1,20025419
